# The Mousetrap - vocabulary expansion candidates
# Generated from 1164 canonical speech lines
# Existing dictionary entries and vocabulary already listed for each speech were excluded
# Candidates: 1000 (single words: 456, phrases: 544)
# LINE = global speech line (1-based); SPEECH_ID = canonical script ID; OCCURRENCES = normalized count
# Candidate list only: verify context and part of speech before dictionary integration.

NO	LINE	SPEECH_ID	TYPE	LEMMA	SURFACE	OCCURRENCES
602	458	act1-scene2-speech-0268	PHRASE-2	little tune	little tune	4
603	459	act1-scene2-speech-0269	PHRASE-2	unhappy childhood	unhappy childhood	1
604	460	act1-scene2-speech-0270	WORD	happy	happy	2
605	465	act1-scene2-speech-0275	PHRASE-2	long time	long time	3
606	468	act1-scene2-speech-0278	PHRASE-2	child matter	child matters	1
607	471	act1-scene2-speech-0281	PHRASE-2	damned lot	damned lot	1
608	471	act1-scene2-speech-0281	PHRASE-3	lot of nonsense	lot of nonsense	1
609	471	act1-scene2-speech-0281	PHRASE-3	use for psychologist	use for psychologists	1
610	473	act1-scene2-speech-0283	PHRASE-2	good thing	good thing	1
611	473	act1-scene2-speech-0283	PHRASE-3	lot of hooey	lot of hooey	1
612	475	act1-scene2-speech-0285	WORD	power	power	1
613	475	act1-scene2-speech-0285	WORD	question	question, questions	9
614	478	act1-scene2-speech-0288	PHRASE-2	expect right	expect right	1
615	478	act1-scene2-speech-0288	WORD	sometimes	sometimes, Sometimes	4
616	480	act1-scene2-speech-0290	PHRASE-2	right way	right way	1
617	480	act1-scene2-speech-0290	WORD	wrong	wrong	4
618	483	act1-scene2-speech-0293	WORD	past	past	1
619	484	act1-scene2-speech-0294	PHRASE-2	right upstairs	right upstairs	1
620	485	act1-scene2-speech-0295	PHRASE-3	shut that door	shutting that door	1
621	486	act1-scene2-speech-0296	WORD	land	land	1
622	488	act1-scene2-speech-0298	PHRASE-3	complete the tour	completes the tour	1
623	492	act1-scene2-speech-0302	WORD	earlier	earlier	1
624	498	act1-scene2-speech-0308	WORD	sofa	sofa	1
625	501	act1-scene2-speech-0311	WORD	blue	blue	2
626	501	act1-scene2-speech-0311	PHRASE-3	blue last night	blue last night	1
627	501	act1-scene2-speech-0311	PHRASE-2	get ration	got ration	1
628	501	act1-scene2-speech-0311	WORD	ration	ration	1
629	501	act1-scene2-speech-0311	PHRASE-3	sort of thing	sort of thing	1
630	501	act1-scene2-speech-0311	WORD	still	Still, still	6
631	502	act1-scene2-speech-0312	PHRASE-2	much reliance	much reliance	1
632	502	act1-scene2-speech-0312	PHRASE-3	sort of evidence	sort of evidence	1
633	506	act1-scene2-speech-0316	WORD	evening	evening	3
634	506	act1-scene2-speech-0316	PHRASE-2	yesterday evening	yesterday evening	1
635	507	act1-scene2-speech-0317	WORD	beforehand	beforehand	1
636	507	act1-scene2-speech-0317	PHRASE-2	book beforehand	booked beforehand	1
637	511	act1-scene2-speech-0321	WORD	fantastic	fantastic	2
638	513	act1-scene2-speech-0323	PHRASE-3	get a description	got a description	1
639	514	act1-scene2-speech-0324	PHRASE-2	feel hat	felt hats	1
640	514	act1-scene2-speech-0324	PHRASE-2	hat face	hat face	1
641	514	act1-scene2-speech-0324	PHRASE-2	height indeterminate	height indeterminate	1
642	519	act1-scene2-speech-0329	PHRASE-2	say something	say something	1
643	523	act1-scene2-speech-0333	PHRASE-3	leave this window	left this window	1
644	524	act1-scene2-speech-0334	WORD	imagine	Imagine, imagine	2
645	524	act1-scene2-speech-0334	PHRASE-3	imagine for instance	Imagine for instance	1
646	524	act1-scene2-speech-0334	WORD	mechanic	mechanics	1
647	524	act1-scene2-speech-0334	PHRASE-2	precise effect	precise effect	1
648	524	act1-scene2-speech-0334	WORD	produce	produced	1
649	524	act1-scene2-speech-0334	WORD	study	study	1
650	525	act1-scene2-speech-0335	PHRASE-3	find any programme	find any programme	1
651	525	act1-scene2-speech-0335	WORD	listening	listening	1
652	525	act1-scene2-speech-0335	PHRASE-2	worth listening	worth listening	1
653	528	act2-speech-0002	WORD	numb	numbed	1
654	529	act2-speech-0003	PHRASE-2	hear anybody	hear anybody	1
655	530	act2-speech-0004	PHRASE-2	hear anything	hear anything, heard anything	4
656	531	act2-speech-0005	PHRASE-2	murderer idea	murderer idea	1
657	533	act2-speech-0007	PHRASE-3	leave the hall	left the hall	1
658	534	act2-speech-0008	PHRASE-3	hear a door	heard a door	2
659	537	act2-speech-0011	PHRASE-3	close at hand	Close at hand	1
660	538	act2-speech-0012	PHRASE-2	even sure	even sure	1
661	539	act2-speech-0013	WORD	bully	bullying	1
662	540	act2-speech-0014	PHRASE-3	investigate a murder	investigating a murder	2
663	540	act2-speech-0014	WORD	quickly	quickly	1
664	540	act2-speech-0014	PHRASE-3	take this thing	taken this thing	1
665	542	act2-speech-0016	PHRASE-2	blind mouse	blind mice	2
666	542	act2-speech-0016	PHRASE-3	little blind mouse	little blind mice	1
667	543	act2-speech-0017	PHRASE-3	mean another connection	mean another connection	1
668	546	act2-speech-0020	PHRASE-2	possible victim	possible victim	1
669	546	act2-speech-0020	WORD	wide	wider, wide	2
670	547	act2-speech-0021	PHRASE-2	unlikely coincidence	unlikely coincidence	1
671	548	act2-speech-0022	PHRASE-2	certain circumstance	certain circumstances	1
672	548	act2-speech-0022	PHRASE-3	kitchen prepare vegetable	kitchen preparing vegetables	1
673	548	act2-speech-0022	WORD	prepare	preparing, prepare	2
674	548	act2-speech-0022	PHRASE-2	prepare vegetable	preparing vegetables	1
675	548	act2-speech-0022	PHRASE-3	switch the light	switched the light	1
676	550	act2-speech-0024	PHRASE-2	go upstairs	went upstairs, gone upstairs	3
677	550	act2-speech-0024	PHRASE-2	say people	say people	1
678	550	act2-speech-0024	PHRASE-3	trace the telephone	trace the telephone	1
679	550	act2-speech-0024	PHRASE-3	try the extension	try the extension	1
680	551	act2-speech-0025	PHRASE-3	close the window	closed the window	1
681	551	act2-speech-0025	PHRASE-3	see any sign	see any sign	1
682	552	act2-speech-0026	PHRASE-2	simple action	simple actions	1
683	555	act2-speech-0029	PHRASE-3	think about something	thinking about something	1
684	559	act2-speech-0033	WORD	natural	natural	2
685	559	act2-speech-0033	PHRASE-2	natural thing	natural thing	1
686	569	act2-speech-0043	WORD	nearer	nearer	1
687	573	act2-speech-0047	WORD	play	playing, play	11
688	573	act2-speech-0047	PHRASE-3	play the piano	playing the piano, play the piano	5
689	578	act2-speech-0052	WORD	catchy	catchy	1
690	580	act2-speech-0054	PHRASE-2	people head	people head	1
691	580	act2-speech-0054	PHRASE-3	run in people	runs in people	1
692	580	act2-speech-0054	WORD	whistle	whistling, Whistling	3
693	586	act2-speech-0060	WORD	ear	ears	1
694	586	act2-speech-0060	PHRASE-3	hear the radio	hear the radio	1
695	597	act2-speech-0071	WORD	hurriedly	hurriedly	1
696	599	act2-speech-0073	WORD	desk	desk	1
697	599	act2-speech-0073	WORD	unfinished	unfinished	2
698	602	act2-speech-0076	PHRASE-2	damned business	damned business	1
699	602	act2-speech-0076	WORD	none	none	1
700	603	act2-speech-0077	PHRASE-2	blue murder	blue murder	1
701	603	act2-speech-0077	PHRASE-2	hear someone	hear someone	1
702	603	act2-speech-0077	PHRASE-3	take the time	take the time	1
703	603	act2-speech-0077	PHRASE-3	write a letter	writing a letter	1
704	606	act2-speech-0080	PHRASE-2	cupboard place	cupboard place	1
705	606	act2-speech-0080	WORD	flight	flight	2
706	606	act2-speech-0080	PHRASE-3	see a flight	saw a flight	1
707	606	act2-speech-0080	WORD	step	steps, step	3
708	606	act2-speech-0080	WORD	tackle	tackle	1
709	608	act2-speech-0082	PHRASE-2	old monastery	old monastery	1
710	609	act2-speech-0083	PHRASE-3	engage in antiquarian	engaged in antiquarian	1
711	609	act2-speech-0083	WORD	faint	faint	1
712	609	act2-speech-0083	PHRASE-2	faint creak	faint creak	1
713	609	act2-speech-0083	PHRASE-2	particular door	particular door	1
714	609	act2-speech-0083	PHRASE-3	pull the door	pulling the door	1
715	609	act2-speech-0083	WORD	research	research	1
716	612	act2-speech-0086	PHRASE-2	wear glove	wear gloves	1
717	613	act2-speech-0087	WORD	later	later, Later	2
718	613	act2-speech-0087	WORD	sooner	sooner	1
719	615	act2-speech-0089	WORD	person	person, persons	7
720	615	act2-speech-0089	PHRASE-2	waste time	wasting time	1
721	618	act2-speech-0092	PHRASE-3	step that lead	steps that leads	1
722	618	act2-speech-0092	PHRASE-2	vital fact	vital fact	1
723	620	act2-speech-0094	PHRASE-2	case everyone	case everyone	1
724	621	act2-speech-0095	PHRASE-3	abnormal young man	abnormal young man	1
725	621	act2-speech-0095	WORD	bill	bill	4
726	621	act2-speech-0095	WORD	damn	damn	1
727	621	act2-speech-0095	PHRASE-3	kill that woman	killed that woman	1
728	621	act2-speech-0095	PHRASE-2	mentally abnormal	mentally abnormal	1
729	621	act2-speech-0095	PHRASE-3	year of age	years of age	1
730	625	act2-speech-0099	PHRASE-2	frame people	frame people	1
731	627	act2-speech-0101	PHRASE-2	arrest anyone	arresting anyone	1
732	627	act2-speech-0101	PHRASE-3	get any evidence	got any evidence	1
733	628	act2-speech-0102	PHRASE-3	put under arrest	put under arrest	1
734	636	act2-speech-0110	PHRASE-2	crazy killer	crazy killer	1
735	636	act2-speech-0110	WORD	killer	killer	8
736	637	act2-speech-0111	WORD	join	joined	1
737	637	act2-speech-0111	PHRASE-3	know a thing	know a thing	1
738	637	act2-speech-0111	PHRASE-3	starve those child	starving those children	1
739	637	act2-speech-0111	WORD	treat	treating	1
740	637	act2-speech-0111	PHRASE-2	woman magistrate	woman magistrate	1
741	639	act2-speech-0113	PHRASE-3	find the place	found the place	1
742	643	act2-speech-0117	PHRASE-2	childish mentality	childish mentality	1
743	643	act2-speech-0117	PHRASE-3	childish mentality desertion	childish mentality desertion	1
744	643	act2-speech-0117	PHRASE-2	mental instability	mental instability	1
745	643	act2-speech-0117	PHRASE-2	mentality desertion	mentality desertion	1
746	643	act2-speech-0117	WORD	probability	probability	1
747	643	act2-speech-0117	PHRASE-2	psychiatrist report	psychiatrist report	1
748	647	act2-speech-0121	WORD	soon	soon	4
749	647	act2-speech-0121	PHRASE-2	take away	taken away	1
750	651	act2-speech-0125	PHRASE-3	eventuality into account	eventuality into account	1
751	651	act2-speech-0125	PHRASE-2	police take	police take	1
752	651	act2-speech-0125	PHRASE-3	take some time	take some time	1
753	652	act2-speech-0126	PHRASE-2	mentally unstable	mentally unstable	1
754	652	act2-speech-0126	WORD	son	son	1
755	652	act2-speech-0126	WORD	unstable	unstable	2
756	654	act2-speech-0128	PHRASE-2	come home	came home	2
757	654	act2-speech-0128	WORD	terrible	terrible	2
758	654	act2-speech-0128	PHRASE-2	terrible experience	terrible experience	1
759	658	act2-speech-0132	PHRASE-2	even old	even old	1
760	658	act2-speech-0132	PHRASE-3	police have rung	police had rung	2
761	658	act2-speech-0132	PHRASE-3	say the police	said the police	2
762	660	act2-speech-0134	PHRASE-2	perfectly normal	perfectly normal	1
763	661	act2-speech-0135	WORD	often	often	1
764	666	act2-speech-0140	PHRASE-2	get makeup	got makeup	1
765	666	act2-speech-0140	PHRASE-2	much young	much younger	1
766	666	act2-speech-0140	PHRASE-3	much young man	much younger man	1
767	668	act2-speech-0142	WORD	helpless	helpless	1
768	669	act2-speech-0143	PHRASE-3	possibility in mind	possibilities in mind	1
769	669	act2-speech-0143	WORD	sister	sister	4
770	671	act2-speech-0145	PHRASE-3	give the sex	gives the sex	1
771	675	act2-speech-0149	PHRASE-3	get no mean	got no means	1
772	675	act2-speech-0149	PHRASE-2	right age	right age	1
773	682	act2-speech-0156	WORD	party	party	1
774	686	act2-speech-0160	WORD	baby	baby	1
775	691	act2-speech-0165	PHRASE-2	abscond bank	absconding bank	1
776	691	act2-speech-0165	PHRASE-2	background nowadays	backgrounds nowadays	1
777	691	act2-speech-0165	PHRASE-2	bank clerk	bank clerk	1
778	691	act2-speech-0165	WORD	break	broken	1
779	691	act2-speech-0165	PHRASE-2	equally undesirable	equally undesirable	1
780	691	act2-speech-0165	WORD	finish	finished	2
781	691	act2-speech-0165	PHRASE-3	make the enquiry	make the enquiries	1
782	691	act2-speech-0165	PHRASE-2	many case	many cases	1
783	691	act2-speech-0165	WORD	settle	settle	1
784	691	act2-speech-0165	WORD	training	training	2
785	694	act2-speech-0168	PHRASE-3	crazy homicidal maniac	crazy homicidal maniac	1
786	694	act2-speech-0168	PHRASE-2	know everything	know everything	1
787	694	act2-speech-0168	PHRASE-3	murder take place	murder took place	1
788	694	act2-speech-0168	PHRASE-3	sort of person	sort of person	1
789	696	act2-speech-0170	PHRASE-3	get some wire	get some wire	1
790	696	act2-speech-0170	PHRASE-3	go across country	went across country	1
791	698	act2-speech-0172	PHRASE-2	wrong kind	wrong kind	1
792	699	act2-speech-0173	PHRASE-3	hour by train	hour by train	1
793	699	act2-speech-0173	WORD	longer	longer	2
794	699	act2-speech-0173	WORD	thirty	thirty	2
795	699	act2-speech-0173	PHRASE-2	thirty mile	thirty miles	1
796	701	act2-speech-0175	PHRASE-2	husband coat	husband coat	1
797	703	act2-speech-0177	WORD	street	streets	1
798	703	act2-speech-0177	PHRASE-2	thirty yesterday	thirty yesterday	1
799	703	act2-speech-0177	PHRASE-2	yesterday afternoon	yesterday afternoon	1
800	716	act2-speech-0190	PHRASE-3	commit these murder	committed these murders	1
801	728	act2-speech-0202	WORD	amuse	amused	1
802	728	act2-speech-0202	WORD	school	school	5
803	730	act2-speech-0204	WORD	service	service	1
804	730	act2-speech-0204	PHRASE-2	unknown murderer	unknown murderer	1
805	732	act2-speech-0206	PHRASE-2	take care	taken care	1
806	739	act2-speech-0213	WORD	forgotten	forgotten	3
807	748	act2-speech-0222	WORD	stick	stick	1
808	751	act2-speech-0225	PHRASE-2	frightfully stupid	frightfully stupid	1
809	753	act2-speech-0227	WORD	hate	hate	3
810	755	act2-speech-0229	PHRASE-2	put thing	puts things, putting things	2
811	763	act2-speech-0237	PHRASE-3	look for chicken	look for chicken	1
812	765	act2-speech-0239	PHRASE-3	drive all round	driving all round	1
813	769	act2-speech-0243	PHRASE-2	different people	different people	1
814	769	act2-speech-0243	PHRASE-3	feel that somebody	feel that somebody	1
815	769	act2-speech-0243	PHRASE-3	middle of friend	middle of friends	1
816	769	act2-speech-0243	PHRASE-3	thing about people	things about people	1
817	769	act2-speech-0243	PHRASE-2	think thing	think things	1
818	769	act2-speech-0243	PHRASE-2	trust anybody	trust anybody	1
819	770	act2-speech-0244	PHRASE-2	interrupt something	interrupting something	1
820	775	act2-speech-0249	PHRASE-2	healthy thing	healthy things	1
821	775	act2-speech-0249	PHRASE-2	keep away	keep away	2
822	777	act2-speech-0251	PHRASE-2	next victim	next victim	1
823	783	act2-speech-0257	PHRASE-2	wife safety	wife safety	1
824	796	act2-speech-0270	PHRASE-2	wretched boy	wretched boy	1
825	798	act2-speech-0272	PHRASE-2	first time	first time	1
826	799	act2-speech-0273	PHRASE-3	suggest these thing	suggest these things	1
827	800	act2-speech-0274	PHRASE-2	way place	way place	1
828	802	act2-speech-0276	PHRASE-2	attract woman	attract women	1
829	802	act2-speech-0276	PHRASE-2	homicidal case	homicidal cases	1
830	803	act2-speech-0277	PHRASE-2	absolutely ridiculous	absolutely ridiculous	1
831	803	act2-speech-0277	WORD	eye	eyes, eye	2
832	803	act2-speech-0277	WORD	set	set	3
833	803	act2-speech-0277	PHRASE-2	set eye	set eyes	1
834	804	act2-speech-0278	WORD	sly	sly	1
835	808	act2-speech-0282	WORD	bus	bus	1
836	808	act2-speech-0282	WORD	ticket	ticket	1
837	808	act2-speech-0282	PHRASE-2	wear yesterday	wearing yesterday	1
838	810	act2-speech-0284	PHRASE-2	village yesterday	village yesterday	1
839	812	act2-speech-0286	WORD	race	racing	2
840	812	act2-speech-0286	PHRASE-2	race round	racing round	2
841	812	act2-speech-0286	WORD	safely	safely	2
842	813	act2-speech-0287	PHRASE-2	country side	country side	1
843	813	act2-speech-0287	WORD	side	side	1
844	817	act2-speech-0291	PHRASE-2	bring back	brought back	1
845	822	act2-speech-0296	PHRASE-3	meet a woman	meet a woman	1
846	832	act2-speech-0306	WORD	sudden	sudden	1
847	835	act2-speech-0309	WORD	fun	fun	7
848	837	act2-speech-0311	WORD	apt	apt	1
849	837	act2-speech-0311	WORD	lover	lovers	1
850	837	act2-speech-0311	PHRASE-2	lover quarrel	lovers quarrels	1
851	837	act2-speech-0311	WORD	quarrel	quarrels	2
852	850	act2-speech-0324	WORD	lie	lying, lied	4
853	851	act2-speech-0325	WORD	reason	reason, reasons	3
854	862	act2-speech-0336	PHRASE-3	fond of ski	fond of ski	1
855	862	act2-speech-0336	PHRASE-2	little exercise	little exercise	1
856	864	act2-speech-0338	PHRASE-3	chance of communication	chance of communication	1
857	864	act2-speech-0338	WORD	outside	outside	1
858	864	act2-speech-0338	PHRASE-2	serious matter	serious matter	1
859	864	act2-speech-0338	PHRASE-2	want everybody	want everybody	1
860	864	act2-speech-0338	WORD	world	world	1
861	873	act2-speech-0347	PHRASE-2	kitchen door	kitchen door	1
862	873	act2-speech-0347	WORD	pair	pair	1
863	873	act2-speech-0347	PHRASE-3	remove a pair	remove a pair	1
864	878	act2-speech-0352	PHRASE-3	pass the cupboard	passed the cupboard	1
865	880	act2-speech-0354	PHRASE-2	cupboard today	cupboard today	1
866	885	act2-speech-0359	PHRASE-2	least idea	least idea	1
867	889	act2-speech-0363	PHRASE-2	damned ski	damned skis	1
868	889	act2-speech-0363	PHRASE-2	good shouting	good shouting	1
869	889	act2-speech-0363	WORD	interested	interested	1
870	889	act2-speech-0363	WORD	shouting	shouting	1
871	889	act2-speech-0363	PHRASE-2	young fellow	young fellow	1
872	891	act2-speech-0365	WORD	grant	grant	1
873	893	act2-speech-0367	PHRASE-2	great thing	great things	1
874	893	act2-speech-0367	PHRASE-3	great thing ski	great things skis	1
875	893	act2-speech-0367	PHRASE-2	thing ski	things skis	1
876	894	act2-speech-0368	WORD	fast	fast	2
877	894	act2-speech-0368	WORD	maybe	maybe, Maybe	4
878	896	act2-speech-0370	PHRASE-2	cunning brain	cunning brain	1
879	898	act2-speech-0372	WORD	cancel	cancelled	1
880	898	act2-speech-0372	WORD	deal	deal	1
881	898	act2-speech-0372	WORD	dealt	dealt	1
882	898	act2-speech-0372	PHRASE-3	get the killer	get the killer	1
883	898	act2-speech-0372	PHRASE-2	good deal	good deal	1
884	898	act2-speech-0372	PHRASE-2	need protection	needs protection	1
885	898	act2-speech-0372	WORD	third	third	3
886	898	act2-speech-0372	PHRASE-2	third mouse	third mouse	1
887	898	act2-speech-0372	PHRASE-2	third time	third time	1
888	899	act2-speech-0373	PHRASE-2	charming occupation	charming occupation	1
889	899	act2-speech-0373	PHRASE-2	fresh mustard	fresh mustard	1
890	899	act2-speech-0373	PHRASE-3	serve on toast	served on toast	1
891	899	act2-speech-0373	WORD	smear	smeared	1
892	899	act2-speech-0373	PHRASE-3	talk of chicken	Talking of chicken	1
893	899	act2-speech-0373	WORD	thickly	thickly	1
894	899	act2-speech-0373	PHRASE-2	thin rasher	thin rasher	1
895	899	act2-speech-0373	PHRASE-2	try chicken	tried chickens	1
896	901	act2-speech-0375	PHRASE-2	dishonourable one	dishonourable ones	1
897	901	act2-speech-0375	WORD	one	ones	1
898	903	act2-speech-0377	WORD	negative	negative	1
899	905	act2-speech-0379	WORD	delicious	delicious	1
900	905	act2-speech-0379	WORD	knife	knife	1
901	905	act2-speech-0379	PHRASE-2	little thing	little things	1
902	905	act2-speech-0379	PHRASE-3	little thing child	little things children	1
903	905	act2-speech-0379	PHRASE-2	snick snick	snick snick	2
904	905	act2-speech-0379	PHRASE-2	thing child	things children	1
905	908	act2-speech-0382	PHRASE-2	forget kind	forgetting kind	1
906	909	act2-speech-0383	WORD	food	food	1
907	909	act2-speech-0383	WORD	piece	pieces	1
908	909	act2-speech-0383	PHRASE-3	prepare the spinach	prepare the spinach	1
909	911	act2-speech-0385	PHRASE-3	little innocent fun	little innocent fun	1
910	911	act2-speech-0385	PHRASE-2	little joke	little joke	1
911	912	act2-speech-0386	PHRASE-2	nice fun	nice fun	1
912	914	act2-speech-0388	PHRASE-2	little wondering	little wondering	1
913	917	act2-speech-0391	WORD	inconveniently	Inconveniently	1
914	919	act2-speech-0393	PHRASE-3	see a friend	see a friend	1
915	924	act2-speech-0398	PHRASE-2	friend name	friend name	1
916	924	act2-speech-0398	PHRASE-3	say this friend	say this friend	1
917	927	act2-speech-0401	PHRASE-2	jealous husband	jealous husbands	1
918	927	act2-speech-0401	PHRASE-2	many reason	many reasons	1
919	933	act2-speech-0407	PHRASE-2	ask question	asked questions, ask questions	2
920	933	act2-speech-0407	PHRASE-2	many people	many people	1
921	933	act2-speech-0407	WORD	overdo	overdoing	1
922	933	act2-speech-0407	PHRASE-2	overdo thing	overdoing things	1
923	934	act2-speech-0408	PHRASE-3	get an answer	get an answer	1
924	946	act2-speech-0420	PHRASE-2	little game	little game	1
925	947	act2-speech-0421	WORD	sense	sense	1
926	947	act2-speech-0421	PHRASE-2	think policemen	thought policemen	1
927	949	act2-speech-0423	PHRASE-2	case someone	case someone	1
928	949	act2-speech-0423	WORD	grand	grand	1
